Pontuation ID,Total Points,Média do Dividend Yield nos últimos 5 anos > 0.06 (5%),Mediana do Dividend Yield nos últimos 5 anos > 0.06 (5%),Dividend Yield Atual > 0.06 (6%),Dívida Bruta/Patrimônio < 0.5 (50%),Pagamento constante de dividendos nos últimos 5 anos,Dividendos crescentes nos últimos 5 anos,0 < Payout < 1,Preço Atual < Preço Máximo,Segmento válido
CTSA4,-7,2,-1,-1,-1,-1,-1,-1,1,-4
RDNI3,3,2,2,2,-1,1,1,-1,1,-4
AGXY3,-5,2,-1,-1,-1,-1,1,-1,1,-4
ESTR4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
PCAR3,-2,2,2,-1,-1,-1,1,-1,1,-4
CCXC3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
GOLL4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MWET4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SNSY5,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BHIA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
OIBR4,-2,-1,-1,-1,2,-1,1,-1,-1,0
NEXP3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AMAR3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
SEQL3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
PMAM3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
OIBR3,-2,-1,-1,-1,2,-1,1,-1,-1,0
CTNM4,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
SGPS3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
AMER3,-2,2,-1,-1,2,-1,1,-1,1,-4
GPAR3,3,2,-1,-1,2,-1,1,-1,1,0
IRBR3,1,2,-1,-1,2,-1,-1,-1,1,0
PDGR3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BPHA3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
ATMP3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BDLL4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
GSHP3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SLED4,-9,-1,-1,-1,2,-1,-1,-1,-1,-4
INEP3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
HOOT4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
RSID3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
TRPN3,-9,-1,-1,-1,2,-1,-1,-1,-1,-4
LUPA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
HBTS5,1,2,2,-1,2,-1,1,-1,1,-4
AHEB5,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AHEB6,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AHEB3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
TXRX3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
FIGE3,-2,2,-1,-1,2,-1,1,-1,1,-4
BOBR3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BRML3,-2,2,-1,-1,2,-1,1,-1,1,-4
CTKA3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
CTKA4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SHOW3,-9,-1,-1,-1,2,-1,-1,-1,-1,-4
MGEL4,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
EUCA4,-1,2,2,-1,2,-1,-1,-1,1,-4
CEDO4,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
EUCA3,1,2,2,-1,2,-1,1,-1,1,-4
ETER3,3,2,2,-1,2,-1,1,1,1,-4
ALOS3,1,2,2,-1,2,-1,1,-1,1,-4
CAMB4,0,2,-1,-1,2,-1,1,1,1,-4
CMIG4,11,2,2,2,2,1,-1,1,1,0
CEDO3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
RANI4,-5,2,-1,-1,-1,-1,-1,1,1,-4
BRAP3,6,2,2,2,2,1,-1,1,1,-4
HBRE3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
BRAP4,6,2,2,2,2,1,-1,1,1,-4
BAZA3,6,2,2,-1,2,-1,-1,1,1,0
GOAU4,3,2,2,2,-1,1,-1,1,1,-4
BNBR3,6,2,2,-1,2,1,-1,-1,1,0
GOAU3,3,2,2,2,-1,1,-1,1,1,-4
CMIG3,13,2,2,2,2,1,1,1,1,0
PETR4,1,2,2,2,-1,-1,-1,1,1,-4
EALT3,0,2,2,-1,-1,1,-1,1,1,-4
VVEO3,-5,2,-1,-1,-1,-1,1,-1,1,-4
EALT4,0,2,2,-1,-1,1,-1,1,1,-4
GGBR3,6,2,2,2,2,1,-1,1,1,-4
PETR3,5,2,2,2,-1,1,1,1,1,-4
BBAS3,13,2,2,2,2,1,1,1,1,0
CLSC4,3,2,2,-1,-1,-1,1,-1,1,0
MTRE3,3,2,2,2,-1,-1,1,1,1,-4
MTSA4,3,2,2,-1,2,1,-1,1,1,-4
TKNO4,3,2,2,-1,2,-1,1,1,1,-4
SAPR3,5,2,2,-1,-1,1,-1,1,1,0
SAPR11,5,2,2,-1,-1,1,-1,1,1,0
POSI3,-4,2,2,-1,-1,-1,-1,-1,1,-4
NEOE3,10,2,2,2,-1,1,1,1,1,0
CEEB5,3,2,2,-1,-1,-1,-1,1,1,0
CSMG3,8,2,2,2,-1,1,-1,1,1,0
DEXP4,3,2,2,-1,2,1,1,-1,1,-4
MOAR3,3,2,2,2,-1,1,-1,1,1,-4
CGRA3,6,2,2,2,2,1,1,-1,1,-4
BMEB4,8,2,2,-1,2,1,-1,1,1,0
ALLD3,4,2,2,2,2,-1,1,-1,1,-4
CEEB3,8,2,2,2,-1,1,-1,1,1,0
BMEB3,8,2,2,-1,2,1,-1,1,1,0
BRSR6,8,2,2,-1,2,1,-1,1,1,0
BRSR3,11,2,2,2,2,1,-1,1,1,0
TRPL4,8,2,2,2,-1,1,-1,1,1,0
TIET11,-2,2,-1,-1,-1,-1,-1,-1,1,0
TIET3,-2,2,-1,-1,-1,-1,-1,-1,1,0
TIET4,-2,2,-1,-1,-1,-1,-1,-1,1,0
ABCB4,13,2,2,2,2,1,1,1,1,0
JHSF3,5,2,2,2,-1,1,1,1,1,-4
ROMI3,3,2,2,2,-1,1,-1,1,1,-4
EVEN3,5,2,2,2,-1,1,1,1,1,-4
CSRN6,3,2,2,-1,-1,-1,-1,1,1,0
CPFE3,7,2,2,-1,-1,1,1,1,1,0
